,roles,companies,locations,experience,skills,skill index
1699,GSC Operational Analytics Data Scientist,Intel,'Bangalore',5-8 ,"['_', 'computer science', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1700,Principal Data Scientist,Signify,'Bangalore',6-12 ,"['_', '_', '_', 'computer science', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', '_', '_']",-1.0
1701,Deputy Manager - Data Scientist,HDFC LIFE INSURANCE COMPANY LIMITED,'Bangalore',3-7 ,"['_', 'python', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_', 'artificial intelligence', '_']",-1.0
1702,Global Tax Automation & Operations / Data Scientist Advisor,Dell,'Bangalore',5-7 ,"['_', '_', '_', '_', '_', '_', '_', 'it skills', '_', 'python', '_', '_', '_', 'data science', '_', 'machine learning', '_']",-1.0
1703,Data Scientist,IBM,'Bangalore',3-4 ,"['_', 'it skills', '_', 'java', '_', 'python', '_', 'data science', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_']",-1.0
1704,Data Scientist: Artificial Intelligence,IBM,'Bangalore',12-15 ,"['_', '_', '_', '_', '_', 'artificial intelligence', '_', '_', '_', '_', '_', 'big data', '_', '_', '_', '_', '_']",-1.0
1705,Data Scientist I,Delhivery,'Bangalore',2-5 ,"['_', 'computer science', '_', '_', '_', 'artificial intelligence', '_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1706,Data Scientist - Machine Learning/Python,CarbyneTech India,'Hyderabad',3-8 ,"['_', '_', '_', 'r', '_', 'data scientist', '_', '_', '_', 'machine learning', '_', 'python', '_', 'sql', '_']",-1.0
1707,Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,'Hyderabad',5-10 ,"['_', '_', '_', 'data scientist', '_', '_', '_', 'artificial intelligence', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
1708,Data Scientist - Image Recognition/ Machine Learning,CarbyneTech India,'Hyderabad',5-10 ,"['_', 'machine learning', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_', '_']",-1.0
1709,Data Scientist,Liquiloans,'Mumbai',3-4 ,"['_', '_', '_', '_', '_', '_', '_', 'data science', '_', 'data scientist', '_', '_', '_', '_', '_', 'python', '_']",-1.0
1710,Data Scientist - Machine/deep Learning Algorithms,CarbyneTech India,'Hyderabad',3-8 ,"['_', '_', '_', 'r', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'python', '_', 'machine learning', '_']",-1.0
1711,Data Scientist - Image Processing/Machine Learning,CarbyneTech India,'Hyderabad',6-11 ,"['_', '_', '_', 'data science', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_', '_', '_']",-1.0
1712,Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,'Hyderabad',6-11 ,"['_', '_', '_', 'data science', '_', 'data scientist', '_', '_', '_', '_', '_', '_', '_', '_', '_', 'machine learning', '_']",-1.0
